	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_560_0.txt	560	0	250.5	337.25	177.5	354.363636364	212.125	725.894736842	445.142857143	418.55	296.487179487	342.45	455.459459459	601.489795918	406.459459459	692.0	459.0	325.756756757	351.714285714	359.777777778	238.666666667	197.428571429	97.9090909091	117.090909091	267.391304348	257.214285714	308.25	90.2142857143	118.6	132.545454545	185.545454545	321.153846154	197.25	137.0	482.714285714	158.333333333
alpha_rarefaction_560_1.txt	560	1	350.5	351.9	143.461538462	287.05	161.0	461.37037037	467.105263158	636.55	523.0	295.275	511.0	593.936170213	548.206896552	742.441176471	482.434782609	349.636363636	294.285714286	341.75	143.363636364	188.625	116.153846154	113.615384615	228.24	234.555555556	220.0	124.583333333	175.5	174.333333333	357.0	258.5	168.4	117.111111111	347.576923077	213.333333333
alpha_rarefaction_560_2.txt	560	2	160.217391304	302.789473684	227.333333333	314.6875	165.0	441.09375	369.038461538	516.5	288.8	342.03030303	475.029411765	642.58490566	451.527777778	648.028571429	347.5	356.964285714	322.105263158	395.035714286	138.666666667	125.75	181.625	139.4	312.6875	239.8	249.0	135.545454545	98.3636363636	127.5	169.428571429	221.473684211	336.909090909	104.75	423.65	213.666666667
alpha_rarefaction_560_3.txt	560	3	276.235294118	362.157894737	169.083333333	352.071428571	174.272727273	425.090909091	316.166666667	533.476190476	584.866666667	339.756756757	590.322580645	676.894736842	399.025	667.894736842	565.473684211	376.6	325.043478261	349.785714286	142.0	205.0	143.2	161.090909091	296.4375	307.066666667	203.076923077	101.833333333	149.1	197.5	143.0	290.272727273	328.5	102.0	380.038461538	163.066666667
alpha_rarefaction_560_4.txt	560	4	258.4	312.142857143	144.1	304.125	229.666666667	467.03125	544.2	441.517241379	562.0	317.75	551.636363636	567.326086957	416.2	744.181818182	458.785714286	338.96875	427.0625	316.0	140.666666667	186.0	136.666666667	165.166666667	397.625	197.44	183.352941176	118.176470588	98.9090909091	179.5	172.666666667	348.363636364	352.666666667	113.75	429.115384615	156.0
alpha_rarefaction_560_5.txt	560	5	205.4	307.105263158	254.6	259.055555556	186.0	553.076923077	440.588235294	431.0	362.37037037	300.176470588	624.833333333	652.428571429	512.0625	531.914893617	443.444444444	324.59375	273.5	508.052631579	152.545454545	269.25	145.333333333	196.363636364	262.125	418.1	390.214285714	120.0	122.125	95.0666666667	130.272727273	296.090909091	264.928571429	118.0	408.107142857	200.0
alpha_rarefaction_560_6.txt	560	6	240.666666667	233.5	194.6	299.647058824	174.5	444.03125	453.894736842	400.384615385	397.206896552	435.322580645	587.857142857	656.0625	437.487179487	691.0	430.1875	385.965517241	274.6	410.483870968	148.363636364	132.230769231	114.058823529	205.0	267.352941176	289.066666667	350.5	135.583333333	138.125	109.333333333	152.25	251.0	253.230769231	150.0	361.285714286	195.214285714
alpha_rarefaction_560_7.txt	560	7	268.166666667	306.235294118	160.4	302.047619048	260.142857143	360.558823529	355.260869565	502.545454545	353.964285714	319.441860465	629.24137931	604.466666667	482.028571429	669.903225806	529.272727273	307.53125	281.0	427.913043478	170.1	191.5	119.588235294	145.5	242.714285714	228.833333333	208.789473684	116.090909091	186.166666667	137.545454545	126.0	432.583333333	311.0	164.625	365.870967742	161.833333333
alpha_rarefaction_560_8.txt	560	8	230.0	300.2	159.666666667	345.833333333	280.1	403.71875	378.5	525.714285714	444.260869565	301.763157895	659.04	596.936170213	439.5	566.357142857	571.12	325.5	357.434782609	375.935483871	189.545454545	174.111111111	226.5	123.588235294	376.0	305.615384615	274.545454545	120.0	123.1	231.428571429	122.125	233.0	289.461538462	96.1111111111	454.043478261	175.666666667
alpha_rarefaction_560_9.txt	560	9	240.619047619	262.0	214.333333333	342.058823529	153.272727273	483.130434783	563.666666667	486.4	530.157894737	326.59375	681.565217391	700.727272727	501.516129032	685.333333333	398.576923077	359.5	342.454545455	431.8	132.1	153.125	128.5	147.1	218.647058824	279.647058824	314.2	219.428571429	129.5	168.625	173.6	186.5	334.230769231	341.333333333	418.791666667	182.5
alpha_rarefaction_670_0.txt	670	0	223.25	298.344827586	163.4	408.333333333	197.076923077	471.487179487	349.576923077	445.0	385.111111111	343.318181818	627.0	617.901639344	556.571428571	604.25	397.451612903	366.090909091	360.384615385	413.0625	147.909090909	173.4	137.0	142.117647059	252.714285714	268.714285714	326.461538462	129.882352941	201.0	165.090909091	136.714285714	291.0	179.0	115.75	356.0	198.25
