#SampleID	days_since_epoch	Subject_SampleType
14255.F4.L.palm	14255	F4_L_palm
14256.F4.L.palm	14256	F4_L_palm
14257.F4.L.palm	14257	F4_L_palm
14264.F4.L.palm	14264	F4_L_palm
14265.F4.L.palm	14265	F4_L_palm
14266.F4.L.palm	14266	F4_L_palm
14268.F4.L.palm	14268	F4_L_palm
14269.F4.L.palm	14269	F4_L_palm
14270.F4.L.palm	14270	F4_L_palm
14271.F4.L.palm	14271	F4_L_palm
14272.F4.L.palm	14272	F4_L_palm
14273.F4.L.palm	14273	F4_L_palm
14274.F4.L.palm	14274	F4_L_palm
14275.F4.L.palm	14275	F4_L_palm
14276.F4.L.palm	14276	F4_L_palm
14277.F4.L.palm	14277	F4_L_palm
14285.F4.L.palm	14285	F4_L_palm
14286.F4.L.palm	14286	F4_L_palm
14287.F4.L.palm	14287	F4_L_palm
14288.F4.L.palm	14288	F4_L_palm
14289.F4.L.palm	14289	F4_L_palm
14290.F4.L.palm	14290	F4_L_palm
14291.F4.L.palm	14291	F4_L_palm
14292.F4.L.palm	14292	F4_L_palm
14293.F4.L.palm	14293	F4_L_palm
14295.F4.L.palm	14295	F4_L_palm
14296.F4.L.palm	14296	F4_L_palm
14297.F4.L.palm	14297	F4_L_palm
14298.F4.L.palm	14298	F4_L_palm
14299.F4.L.palm	14299	F4_L_palm
14300.F4.L.palm	14300	F4_L_palm
14301.F4.L.palm	14301	F4_L_palm
14302.F4.L.palm	14302	F4_L_palm
14303.F4.L.palm	14303	F4_L_palm
14304.F4.L.palm	14304	F4_L_palm
14305.F4.L.palm	14305	F4_L_palm
14306.F4.L.palm	14306	F4_L_palm
14307.F4.L.palm	14307	F4_L_palm
14308.F4.L.palm	14308	F4_L_palm
14309.F4.L.palm	14309	F4_L_palm
14310.F4.L.palm	14310	F4_L_palm
14311.F4.L.palm	14311	F4_L_palm
14312.F4.L.palm	14312	F4_L_palm
14313.F4.L.palm	14313	F4_L_palm
14314.F4.L.palm	14314	F4_L_palm
14315.F4.L.palm	14315	F4_L_palm
14316.F4.L.palm	14316	F4_L_palm
14317.F4.L.palm	14317	F4_L_palm
14318.F4.L.palm	14318	F4_L_palm
14319.F4.L.palm	14319	F4_L_palm
14320.F4.L.palm	14320	F4_L_palm
14321.F4.L.palm	14321	F4_L_palm
14322.F4.L.palm	14322	F4_L_palm
14324.F4.L.palm	14324	F4_L_palm
14325.F4.L.palm	14325	F4_L_palm
14326.F4.L.palm	14326	F4_L_palm
14328.F4.L.palm	14328	F4_L_palm
14330.F4.L.palm	14330	F4_L_palm
14331.F4.L.palm	14331	F4_L_palm
14332.F4.L.palm	14332	F4_L_palm
14333.F4.L.palm	14333	F4_L_palm
14334.F4.L.palm	14334	F4_L_palm
14339.F4.L.palm	14339	F4_L_palm
14343.F4.L.palm	14343	F4_L_palm
14344.F4.L.palm	14344	F4_L_palm
14345.F4.L.palm	14345	F4_L_palm
14346.F4.L.palm	14346	F4_L_palm
14347.F4.L.palm	14347	F4_L_palm
14348.F4.L.palm	14348	F4_L_palm
14349.F4.L.palm	14349	F4_L_palm
14350.F4.L.palm	14350	F4_L_palm
14351.F4.L.palm	14351	F4_L_palm
14352.F4.L.palm	14352	F4_L_palm
14353.F4.L.palm	14353	F4_L_palm
14354.F4.L.palm	14354	F4_L_palm
14355.F4.L.palm	14355	F4_L_palm
14356.F4.L.palm	14356	F4_L_palm
14357.F4.L.palm	14357	F4_L_palm
14358.F4.L.palm	14358	F4_L_palm
14173.M3.L.palm	14173	M3_L_palm
14174.M3.L.palm	14174	M3_L_palm
14175.M3.L.palm	14175	M3_L_palm
14176.M3.L.palm	14176	M3_L_palm
14177.M3.L.palm	14177	M3_L_palm
14178.M3.L.palm	14178	M3_L_palm
14179.M3.L.palm	14179	M3_L_palm
14180.M3.L.palm	14180	M3_L_palm
14181.M3.L.palm	14181	M3_L_palm
14182.M3.L.palm	14182	M3_L_palm
14183.M3.L.palm	14183	M3_L_palm
14184.M3.L.palm	14184	M3_L_palm
14185.M3.L.palm	14185	M3_L_palm
14186.M3.L.palm	14186	M3_L_palm
14187.M3.L.palm	14187	M3_L_palm
14188.M3.L.palm	14188	M3_L_palm
14189.M3.L.palm	14189	M3_L_palm
