Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP/90	LB/90	137.660841136	9.77974617486	120.086239979	13.79620883	2.0784928918	1.0
LB/30+120h	C-AS/90	66.7015476191	7.08053527147	241.242102275	43.1384929515	-7.06088040347	1.0
LB/90+140h	LB/30+120h	147.707509352	25.8625993048	66.7015476191	7.08053527147	5.36608287475	1.0
LB/30	LB/90	76.0115368659	6.65635090702	120.086239979	13.79620883	-5.17372660763	1.0
LB-AS/90+50h	C/90+140h	122.005804314	28.4036737171	180.116366794	32.1853364616	-2.70745927545	1.0
LB+LP/30	C-AS/90+50h	72.3775501582	9.78193626663	151.250470102	27.4221901681	-4.83317734414	0.462
LB+LP/30	C/30+120h	72.3775501582	9.78193626663	171.146218582	30.1820286295	-5.39190821489	1.0
C/30	C-AS/90	322.648416522	26.2538282763	241.242102275	43.1384929515	2.92345599022	1.0
LB/30	LB+LP/30+120h	76.0115368659	6.65635090702	71.2195292208	6.29933537376	0.90566559922	1.0
C/30+120h	C/90+140h	171.146218582	30.1820286295	180.116366794	32.1853364616	-0.376640387503	1.0
C/30	C-AS/90+140h	322.648416522	26.2538282763	139.923142593	46.8743028478	6.14751698301	1.0
LB-AS/90+140	C-AS/90+140h	131.196352814	0.0	139.923142593	46.8743028478	-0.152010666486	1.0
LB-AS/90+140h	LB/90	174.047997474	26.9747424886	120.086239979	13.79620883	3.42460218958	1.0
LB/90+140h	C-AS/90	147.707509352	25.8625993048	241.242102275	43.1384929515	-3.71927980132	0.693
LB/30	C-AS/90	76.0115368659	6.65635090702	241.242102275	43.1384929515	-6.69246361374	1.0
LB/90+50h	C-AS/90	119.531989102	13.8254804537	241.242102275	43.1384929515	-5.37353655469	1.0
LB/30+120h	C-AS/90+50h	66.7015476191	7.08053527147	151.250470102	27.4221901681	-5.29883383469	0.924
C/30	LB/90	322.648416522	26.2538282763	120.086239979	13.79620883	13.1186292171	1.0
LB/90+50h	C-AS/90+50h	119.531989102	13.8254804537	151.250470102	27.4221901681	-2.06565981822	1.0
LB-AS/90+50h	LB+LP/30+120h	122.005804314	28.4036737171	71.2195292208	6.29933537376	3.09349178795	1.0
LB/90+140h	LB+LP/30+120h	147.707509352	25.8625993048	71.2195292208	6.29933537376	5.09694434507	1.0
C-AS/90+50h	LB-AS/90+140h	151.250470102	27.4221901681	174.047997474	26.9747424886	-1.10091454563	1.0
C-AS/90+140h	LB+LP/90+50h	139.923142593	46.8743028478	127.622411567	22.496704018	0.473166117588	1.0
LB+LP/90	C-AS/90	137.660841136	9.77974617486	241.242102275	43.1384929515	-4.68342059049	1.0
LB/90+140h	LB/90	147.707509352	25.8625993048	120.086239979	13.79620883	1.88462138087	1.0
LB+LP/90+140h	LB/90+140h	156.724751188	25.16527784	147.707509352	25.8625993048	0.499770551259	1.0
LB+LP/90+50h	LB-AS/90	127.622411567	22.496704018	121.750662483	23.9027370392	0.357767121864	1.0
C/90	LB-AS/90+140	289.482155449	24.8652244896	131.196352814	0.0	-5.19761310481	1.0
LB+LP/30	LB-AS/90	72.3775501582	9.78193626663	121.750662483	23.9027370392	-3.42135133898	1.0
C/90+140h	C/90+50h	180.116366794	32.1853364616	255.81492407	22.8804441896	-3.83386976337	1.0
LB/90+50h	LB/90	119.531989102	13.8254804537	120.086239979	13.79620883	-0.0567545785147	1.0
LB/90+140h	C-AS/90+50h	147.707509352	25.8625993048	151.250470102	27.4221901681	-0.1879845408	1.0
LB-AS/90+140	C/30	131.196352814	0.0	322.648416522	26.2538282763	-5.64862881355	1.0
LB-AS/90+140h	LB+LP/90+50h	174.047997474	26.9747424886	127.622411567	22.496704018	2.48232466795	1.0
LB-AS/90+50h	LB-AS/90	122.005804314	28.4036737171	121.750662483	23.9027370392	0.0137457929367	1.0
LB-AS/90+50h	LB-AS/90+140h	122.005804314	28.4036737171	174.047997474	26.9747424886	-2.46309573096	1.0
LB/30+120h	C/30	66.7015476191	7.08053527147	322.648416522	26.2538282763	-16.3031477964	1.0
LB/30+120h	LB+LP/30+120h	66.7015476191	7.08053527147	71.2195292208	6.29933537376	-0.825713116493	1.0
C/90+140h	LB+LP/90+50h	180.116366794	32.1853364616	127.622411567	22.496704018	2.67360624406	1.0
C/90+140h	LB-AS/90	180.116366794	32.1853364616	121.750662483	23.9027370392	2.91170788879	1.0
LB-AS/90	LB/90	121.750662483	23.9027370392	120.086239979	13.79620883	0.12061695973	1.0
LB/90+140h	C/90+140h	147.707509352	25.8625993048	180.116366794	32.1853364616	-1.56985965543	1.0
C/30	C/90+50h	322.648416522	26.2538282763	255.81492407	22.8804441896	3.59552844738	1.0
LB-AS/90+50h	C/90+50h	122.005804314	28.4036737171	255.81492407	22.8804441896	-7.33742410987	1.0
LB+LP/90+140h	C/90+50h	156.724751188	25.16527784	255.81492407	22.8804441896	-5.82680290025	1.0
C/30	LB/90+50h	322.648416522	26.2538282763	119.531989102	13.8254804537	13.1473608151	0.693
LB+LP/30+120h	C-AS/90	71.2195292208	6.29933537376	241.242102275	43.1384929515	-6.89328662227	1.0
LB-AS/90+50h	C/30	122.005804314	28.4036737171	322.648416522	26.2538282763	-9.60289879787	0.924
C-AS/90+140h	LB-AS/90	139.923142593	46.8743028478	121.750662483	23.9027370392	0.690746526738	1.0
LB+LP/90+50h	C-AS/90	127.622411567	22.496704018	241.242102275	43.1384929515	-4.67069599679	1.0
LB/90+140h	LB-AS/90+140h	147.707509352	25.8625993048	174.047997474	26.9747424886	-1.31357780358	1.0
