New.CleanUp.ReferenceOTU443	156_4981	156_5836	156_5838	156_9642	156_19928	156_21827	156_21917	156_25970	156_31459	156_38758	156_189	156_6487	156_7477	156_9169	156_22264	156_25620	156_25621	156_25962	156_34023	156_36142	156_968	156_1738	156_7469	156_13386	156_16017	156_25029	156_28001	156_32587	156_34803	156_4210	156_6312	156_6803	156_27893	156_33474	156_33901	156_35701	156_39160	156_3039	156_8928	156_12994	156_36283	156_37453	156_37454	156_927	156_1714	156_14263	156_14932	156_34055	156_39001	156_13596	156_16527	156_17344	156_19654	156_33153	156_26292	156_28701	156_35487	156_39407	156_40255	156_544	156_6593	156_15001	156_38300	156_40580	156_2829	156_3528	156_4593	156_6760	156_16664	156_17684	156_38952	156_1386	156_1387	156_5288	156_8787	156_381	156_34561	156_14653	156_28337	156_13579	156_13580	156_15624	156_17322	156_11632	156_23520	156_38203	156_38204	156_3062	156_12924	156_5188	156_8486	156_13872	156_3312	156_13597	156_33779	156_15814	156_8485	156_36301	156_7390	156_7392	156_7762	156_34485	156_7845	156_14260	156_24170	156_30739	156_11630	156_13942	156_15276	156_40262	156_5536	156_40687	156_23423	156_26398	156_4941	156_7844	156_129	156_8525	156_39919	156_9721	156_9720	156_34868	156_19362	156_19677	156_19675	156_8042	156_29318	156_29149	156_33167	156_10362	156_36775	156_6647	156_31241	156_20653	156_35638	156_27110	156_5101	156_16880	156_22223	156_28806	156_36619	156_40423	156_39833	156_2177	156_19927	156_967	156_15147	156_34022	156_5593	156_22490	156_15044	156_33448	156_9376	156_35033	156_35031	156_18258	156_27661	156_17202	156_17200	156_14576	156_17330	156_33233	156_16224	156_28000	156_24838	156_23055	156_8766	156_18350	156_13144	156_21359	156_31458	156_22222	156_32584	156_30989	156_20918	156_1079	156_11859	156_10258	156_37377	156_27906	156_40309	156_36001	156_18900	156_19245	156_33447	156_9139	156_38950	156_9523	156_38522	156_30776	156_33037	156_26	156_23878	156_10993	156_5238	156_31802	156_14532	156_30323	156_33743	156_16415	156_7293	156_36111	156_7947	156_26773	156_31383	156_12786
New.CleanUp.ReferenceOTU444	172_28158
New.CleanUp.ReferenceOTU445	147_25821	148_1631	148_3777	148_3778	147_3367	147_3368	148_7196	146_23529	148_8400	161_37515	147_5301	148_13010	148_4017	146_3578	148_6043	147_6212	148_31026	148_36978	148_36977	148_4530	146_23767	147_33168	148_35459	146_16547	147_21679	148_12520	147_20222	146_19133	147_32602	148_11296	146_25580	147_31002	146_23299	146_22650	148_3202	148_17700
New.CleanUp.ReferenceOTU446	167_2107
New.CleanUp.ReferenceOTU447	162_19602
New.CleanUp.ReferenceOTU448	176_723	176_724	168_46408	161_39357	155_27601	153_11202	161_20922	163_4893	176_25251	152_41555	163_16126
New.CleanUp.ReferenceOTU449	175_15046
New.CleanUp.ReferenceOTU450	173_8756
New.CleanUp.ReferenceOTU451	178_23170
New.CleanUp.ReferenceOTU452	148_10226
New.CleanUp.ReferenceOTU453	175_36290
New.CleanUp.ReferenceOTU454	148_15616
New.CleanUp.ReferenceOTU455	167_30893
New.CleanUp.ReferenceOTU456	175_54357
New.CleanUp.ReferenceOTU457	156_6164	156_6165	156_6581	156_11538	156_21535	156_39654	156_37842	156_5187	156_22675	156_3889	156_6812	156_24894	156_36980
New.CleanUp.ReferenceOTU458	156_5589
New.CleanUp.ReferenceOTU459	178_622
New.CleanUp.ReferenceOTU460	156_5584
New.CleanUp.ReferenceOTU461	177_3082
New.CleanUp.ReferenceOTU462	146_13745
New.CleanUp.ReferenceOTU463	157_8074
New.CleanUp.ReferenceOTU464	152_11907
New.CleanUp.ReferenceOTU465	166_13846
New.CleanUp.ReferenceOTU466	166_13844
New.CleanUp.ReferenceOTU467	176_8458	157_29615	157_3397	150_335	161_7522	163_24598
New.CleanUp.ReferenceOTU468	163_38841
New.CleanUp.ReferenceOTU469	166_13841
New.CleanUp.ReferenceOTU470	148_15807
New.CleanUp.ReferenceOTU471	176_51411
New.CleanUp.ReferenceOTU472	176_8455
New.CleanUp.ReferenceOTU473	178_53776
New.CleanUp.ReferenceOTU474	161_29830
New.CleanUp.ReferenceOTU475	146_10203	146_10202	148_32815	147_9862	148_13176	147_17590
New.CleanUp.ReferenceOTU476	157_30556
New.CleanUp.ReferenceOTU477	157_30554
New.CleanUp.ReferenceOTU478	171_36377
New.CleanUp.ReferenceOTU479	147_35767
New.CleanUp.ReferenceOTU480	153_39198
New.CleanUp.ReferenceOTU481	147_17198
New.CleanUp.ReferenceOTU482	153_10933
New.CleanUp.ReferenceOTU483	177_3104
New.CleanUp.ReferenceOTU484	176_29246
New.CleanUp.ReferenceOTU485	176_29247
New.CleanUp.ReferenceOTU486	170_36153
New.CleanUp.ReferenceOTU487	147_31940
New.CleanUp.ReferenceOTU488	155_32596	171_11389	170_9357	175_18082	172_21209
New.CleanUp.ReferenceOTU489	170_36158
New.CleanUp.ReferenceOTU490	155_35590
New.CleanUp.ReferenceOTU491	176_21076
New.CleanUp.ReferenceOTU492	170_31518
New.CleanUp.ReferenceOTU493	171_6817
New.CleanUp.ReferenceOTU494	157_9077
New.CleanUp.ReferenceOTU495	166_33501
New.CleanUp.ReferenceOTU496	173_9402
New.CleanUp.ReferenceOTU497	148_11756
New.CleanUp.ReferenceOTU498	148_13753
New.CleanUp.ReferenceOTU499	175_32135
New.CleanUp.ReferenceOTU500	148_13751
New.CleanUp.ReferenceOTU501	178_54466
New.CleanUp.ReferenceOTU502	177_14214
New.CleanUp.ReferenceOTU503	176_28590
New.CleanUp.ReferenceOTU504	162_5677
