# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	8.13526229442e-05	7.01478717136e-06	0.0	5.51141321821e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98757263153e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.00200669803262	6.31330845422e-05	1.9571897365e-05	0.00209433702292	3.94524006786e-05	1.33579118912e-05	0.000749803727848	2.61231313798e-05	0.0	0.00052910888587	6.83795750209e-05	2.06004339825e-05	0.000432256294732
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.00825729122883	0.000196414040798	0.000110907418401	0.000202085151334	9.46857616286e-05	0.0	0.000220530508191	0.000124084874054	0.000111029689339	2.36914426509e-05	9.6871064613e-05	3.43340566375e-05	0.000399005810522
k__Bacteria;p__TM6;c__SJA-4;o__;f__	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	0.0	0.0	0.0	4.59284434851e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae	8.13526229442e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	5.42350819628e-05	0.0	1.9571897365e-05	0.0	0.0	0.0	0.0	0.0	2.22059378678e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49378631576e-05
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae	6.77938524535e-05	0.0	0.0	5.51141321821e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.69829791841e-06	0.0	0.0
k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae	0.0	0.0	0.0	0.00422541680062	0.0	0.0	0.000679233965227	0.0	0.0	0.00078181760748	0.0	0.0	0.000847887347359
