OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LB-AS/90+50h_mean	C/90_mean	LB/30_mean	LB+LP/90+140h_mean	LB-AS/90+140_mean	LB/90+140h_mean	LB+LP/90_mean	LB/30+120h_mean	C/30_mean	LB/90+50h_mean	LB+LP/30_mean	C/30+120h_mean	C-AS/90+50h_mean	LB-AS/90+140h_mean	C-AS/90+140h_mean	C/90+140h_mean	LB+LP/90+50h_mean	LB+LP/30+120h_mean	C/90+50h_mean	C-AS/90_mean	LB-AS/90_mean	LB/90_mean	taxonomy
New.ReferenceOTU59	69.2729326059	4.59358140515e-07	1.14198531868e-05	0.000489216419649	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.0	0.0	1.4	1.4	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
New.CleanUp.ReferenceOTU6276	69.2627409844	4.61083274209e-07	1.14198531868e-05	0.000491053687033	0.0	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.2	0.0	0.0	2.0	3.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
New.ReferenceOTU66	68.2502149845	6.68499723346e-07	1.61807319401e-05	0.000711952205364	0.0	4.8	0.0	1.2	0.0	0.6	0.2	0.0	16.5	0.4	0.0	14.5	1.2	0.25	2.4	3.0	0.0	0.0	3.2	1.0	0.2	0.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
540793	67.8149585206	7.8377988013e-07	1.85494571631e-05	0.000834725572338	0.8	9.2	0.0	1.4	2.0	1.8	0.8	0.0	7.0	0.4	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	9.4	2.8	0.4	0.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
555970	67.5758995397	8.55216889508e-07	1.98001301593e-05	0.000910805987326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	2.2	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
New.ReferenceOTU34	67.3058340901	9.43658497401e-07	2.13828999943e-05	0.00100499629973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	15.2	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
837069	65.4194717629	1.86901616682e-06	4.01121865871e-05	0.00199050221766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	0.4	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
4482944	65.3984916831	1.88320124822e-06	4.01121865871e-05	0.00200560932935	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	4.75	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.CleanUp.ReferenceOTU2157	65.3984916831	1.88320124822e-06	4.01121865871e-05	0.00200560932935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
716006	65.1240173877	2.07883483812e-06	4.34109627961e-05	0.0022139591026	4.6	4.8	1.0	5.2	3.0	9.0	12.0	0.75	104.75	3.6	1.25	14.0	1.2	3.5	0.2	0.4	4.0	0.75	3.6	2.6	2.2	7.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
922761	65.006766393	2.1683817747e-06	4.35930776069e-05	0.00230932659005	0.2	4.8	0.25	0.4	0.0	0.0	0.6	0.25	3.25	0.8	0.0	0.0	1.6	1.25	0.0	0.2	0.6	0.0	7.2	3.4	1.0	0.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
New.ReferenceOTU42	65.0054341187	2.16942076354e-06	4.35930776069e-05	0.00231043311317	0.2	4.6	0.0	0.4	0.0	0.6	0.4	0.0	3.75	0.0	0.0	0.0	0.4	0.5	0.0	0.0	0.0	0.25	2.6	1.4	0.0	0.2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
New.CleanUp.ReferenceOTU6635	64.716224042	2.40695774038e-06	4.73974709151e-05	0.00256340999351	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.8	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU38	64.6693935407	2.44775671393e-06	4.73974709151e-05	0.00260686090033	0.0	0.0	0.0	0.2	0.0	0.4	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
810831	64.4092046903	2.68713589945e-06	5.11035666591e-05	0.00286179973291	2.0	9.6	0.25	2.0	0.0	1.8	0.8	0.5	11.75	0.6	0.25	0.0	1.2	3.0	0.0	0.0	1.0	0.0	13.8	5.2	1.0	1.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU5420	64.1874742268	2.9091971721e-06	5.4356052426e-05	0.00309829498828	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	Unassigned
New.CleanUp.ReferenceOTU148	64.0076086957	3.10250802147e-06	5.69684662563e-05	0.00330417104287	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
New.CleanUp.ReferenceOTU5531	63.3957312033	3.85955293132e-06	6.96682012179e-05	0.00411042387186	0.0	0.4	0.0	0.0	0.0	0.0	0.4	0.0	4.5	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
New.CleanUp.ReferenceOTU2672	63.3100032722	3.97919007835e-06	6.99913184077e-05	0.00423783743344	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.4	0.6	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
1081222	63.2891122763	4.00889241584e-06	6.99913184077e-05	0.00426947042287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	6.4	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
New.ReferenceOTU23	62.7293069028	4.89121134047e-06	8.40183883483e-05	0.0052091400776	5.0	1.6	5.25	8.8	7.0	7.4	7.2	3.5	1.75	7.2	4.75	0.25	2.6	5.75	1.6	0.4	5.0	3.25	0.6	3.4	5.2	6.6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1078248	62.3303875969	5.63375416746e-06	9.52372728309e-05	0.00599994818835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	25.6	47.8	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
New.ReferenceOTU49	62.0869261084	6.14021990268e-06	0.000101179920972	0.00653933419636	6.0	7.6	2.0	9.2	8.0	8.6	6.2	0.75	4.0	5.0	1.75	0.25	4.0	14.75	0.2	0.0	6.8	2.0	5.0	9.0	6.2	6.8	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
New.CleanUp.ReferenceOTU1876	62.0708009402	6.17530034103e-06	0.000101179920972	0.00657669486319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
New.CleanUp.ReferenceOTU3017	62.0260549341	6.27367981347e-06	0.000101234378808	0.00668146900135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	2.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
